name,age,size,color,breed
Pldaue,10,60,blue,Peruvian Vipertooth
Ekbethnx,11,9,red,Hebridean Black
Nbssvid,10,51,black,Romanian Longhorn
Bco,14,5,blue,Hungarian Horntail
Xmixsob,8,63,white,Peruvian Vipertooth
Pltswm,18,47,red,Hebridean Black
Qjxp,8,12,red,Norwegian Ridgeback
Otqkx,8,46,black,Peruvian Vipertooth
Dgnep,1,15,blue,Hungarian Horntail
Qygpttu,0,92,blue,Common Welsh Green
Fys,1,65,blue,Chinese Fireball
Hpmqjv,18,39,white,Chinese Fireball
Fjyltif,3,18,red,Romanian Longhorn
Rwtnkt,18,15,white,Chinese Fireball
Sjdoinio,17,66,black,Chinese Fireball
Qxevtru,2,84,black,Peruvian Vipertooth
Xlkmdr,8,40,white,Antipodean Opaleye
Wplfx,2,89,black,Swedish Short-Snout
Ujkjb,17,47,blue,Antipodean Opaleye
Vnspgdx,2,82,white,Chinese Fireball
Cyajt,16,1,black,Romanian Longhorn
Wpywmlm,1,58,black,Ukrainian Ironbelly
Pvfm,1,20,black,Ukrainian Ironbelly
Iwk,20,50,red,Hebridean Black
Ybeyf,19,69,red,Antipodean Opaleye
Hqbaqt,5,7,black,Common Welsh Green
Oyro,1,91,black,Chinese Fireball
Uiegura,12,51,blue,Swedish Short-Snout
Vle,11,76,white,Antipodean Opaleye
Kefqea,17,82,red,Norwegian Ridgeback
Casaq,20,93,red,Hebridean Black
Ayyxtmxk,17,28,black,Norwegian Ridgeback
Ymyf,18,71,blue,Swedish Short-Snout
Ssj,7,52,red,Hungarian Horntail
Qayk,4,3,red,Chinese Fireball
Pqeajfle,15,100,blue,Peruvian Vipertooth
Rcw,4,18,red,Norwegian Ridgeback
Itufg,15,9,red,Swedish Short-Snout
Fowwj,12,14,blue,Romanian Longhorn
Gqextff,13,100,black,Ukrainian Ironbelly
Mjl,5,28,white,Swedish Short-Snout
Dty,1,93,blue,Chinese Fireball
Axmdo,4,66,red,Ukrainian Ironbelly
Krs,5,10,blue,Ukrainian Ironbelly
Nnytaxfj,4,6,white,Common Welsh Green
Ekwyooob,5,32,blue,Common Welsh Green
Lfyl,7,31,red,Romanian Longhorn
Bgjuy,18,92,red,Antipodean Opaleye
Igcpb,13,98,white,Common Welsh Green
Rxtg,0,45,blue,Swedish Short-Snout
Axje,7,66,white,Antipodean Opaleye
Ojhkw,0,44,white,Antipodean Opaleye
Vecvn,15,76,white,Peruvian Vipertooth
Mljl,6,20,white,Norwegian Ridgeback
Meaedx,3,75,red,Hungarian Horntail
Jhds,10,8,white,Peruvian Vipertooth
Qehprbcm,2,81,white,Ukrainian Ironbelly
Xagisbj,6,70,white,Ukrainian Ironbelly
Mydko,1,50,black,Hebridean Black
Jexrsium,3,96,white,Romanian Longhorn
Gdo,9,84,white,Chinese Fireball
Khjitl,3,54,black,Hebridean Black
Gwsreeav,17,15,white,Chinese Fireball
Aksjfbc,15,68,black,Hungarian Horntail
Cxmtnjra,7,34,red,Common Welsh Green
Fhpwnp,0,96,red,Hungarian Horntail
Xqttbjb,6,56,red,Common Welsh Green
Xrhpsl,13,77,red,Common Welsh Green
Prgutmmo,5,95,white,Antipodean Opaleye
Aolekjvu,10,99,red,Hungarian Horntail
Stcf,9,70,blue,Peruvian Vipertooth
Fcjppaj,18,3,black,Peruvian Vipertooth
Qeriukd,6,52,blue,Romanian Longhorn
Bkokfxp,19,45,white,Swedish Short-Snout
Omqwq,9,26,white,Norwegian Ridgeback
Oupki,4,59,blue,Chinese Fireball
Alua,16,72,blue,Antipodean Opaleye
Bqvsnn,16,5,blue,Antipodean Opaleye
Hxtdq,11,94,blue,Ukrainian Ironbelly
Ctuifya,18,32,blue,Peruvian Vipertooth
Ihkk,11,67,white,Hungarian Horntail
Kvjx,5,2,white,Common Welsh Green
Sbtaehey,17,55,white,Swedish Short-Snout
Sasc,1,26,red,Ukrainian Ironbelly
Npi,17,14,white,Chinese Fireball
Oafiunkm,15,68,blue,Peruvian Vipertooth
Byqnv,1,88,white,Hebridean Black
Qbojppwg,8,37,blue,Common Welsh Green
Bhqidfp,3,31,black,Romanian Longhorn
Epexmyk,15,77,white,Hebridean Black
Cippfvi,13,86,white,Norwegian Ridgeback
Cinxuu,15,91,white,Peruvian Vipertooth
Povc,9,35,black,Norwegian Ridgeback
Mvahyg,5,32,red,Peruvian Vipertooth
Ulx,20,29,blue,Norwegian Ridgeback
Pkfb,18,16,red,Common Welsh Green
Iyfch,12,81,white,Swedish Short-Snout
Qggi,2,60,blue,Swedish Short-Snout
Wfhtaadi,13,52,white,Hungarian Horntail
Yqpoqh,10,18,blue,Common Welsh Green
Tdn,2,85,black,Ukrainian Ironbelly
Isda,13,52,red,Chinese Fireball
Bwrwjtog,20,50,red,Hungarian Horntail
Dfsev,4,92,black,Romanian Longhorn
Bjjtq,15,64,black,Romanian Longhorn
Nmo,19,79,white,Peruvian Vipertooth
Evi,1,89,blue,Norwegian Ridgeback
Toyhn,7,26,red,Romanian Longhorn
Yyuvdwvc,3,14,blue,Norwegian Ridgeback
Yoyahi,5,82,black,Ukrainian Ironbelly
Aufhb,16,79,black,Hebridean Black
Jmu,11,44,white,Antipodean Opaleye
Dxvygci,19,84,blue,Romanian Longhorn
Jffrnvdt,3,77,white,Norwegian Ridgeback
Cllodvu,13,93,red,Chinese Fireball
Sigd,3,35,black,Antipodean Opaleye
Gev,0,29,red,Peruvian Vipertooth
Qibkuh,13,93,blue,Common Welsh Green
Kuagwaf,13,68,red,Peruvian Vipertooth
Nfffte,10,32,black,Norwegian Ridgeback
Qvihma,6,49,white,Peruvian Vipertooth
Ughykvlh,0,24,blue,Romanian Longhorn
Ijdbhx,2,68,black,Hungarian Horntail
Knbf,15,75,blue,Ukrainian Ironbelly
Mfjhpyvo,7,56,blue,Swedish Short-Snout
Qjnud,5,85,white,Hungarian Horntail
Tcjyidb,19,76,white,Swedish Short-Snout
Qvrhdyf,16,51,blue,Hungarian Horntail
Tjyke,16,65,red,Chinese Fireball
Qjetntd,7,70,white,Hebridean Black
Ythnyup,11,79,black,Norwegian Ridgeback
Srynqw,6,57,red,Swedish Short-Snout
Kyaik,2,28,black,Romanian Longhorn
Ivs,7,5,white,Common Welsh Green
Mgcy,1,54,white,Hungarian Horntail
Wsrskd,14,49,black,Common Welsh Green
Ngyqyll,6,22,blue,Norwegian Ridgeback
